FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
01/03/2012;8178D;ALBACETE;ALBACETE;676;12;0;2.9;7:00;21.2;14:52;10;0.6;6.7;17:40;8.4;946.7;24;943.3;Varias
02/03/2012;8178D;ALBACETE;ALBACETE;676;10;1.2;6.9;21:00;13.1;14:59;30;2.2;8.6;17:00;3.2;949.3;24;945.9;Varias
03/03/2012;8178D;ALBACETE;ALBACETE;676;11.2;0;6.4;6:00;15.9;14:30;26;2.2;9.7;15:00;;951.5;12;949.1;4
04/03/2012;8178D;ALBACETE;ALBACETE;676;9.9;0.7;3.7;6:47;16.1;12:14;34;2.2;11.1;13:30;;951.3;0;946.2;18
05/03/2012;8178D;ALBACETE;ALBACETE;676;10.2;0;4;7:40;16.3;15:47;27;1.7;6.7;20:40;9.8;948.5;10;945.4;16
06/03/2012;8178D;ALBACETE;ALBACETE;676;8;0;1.1;7:20;14.9;14:50;27;1.1;11.4;16:30;10.2;947.7;9;943.2;17
07/03/2012;8178D;ALBACETE;ALBACETE;676;6.8;0;-1.1;6:57;14.6;14:17;28;0.8;6.1;22:00;9.2;949.6;24;945.2;0
08/03/2012;8178D;ALBACETE;ALBACETE;676;10.7;0;3.3;6:40;18.1;14:21;31;1.7;8.9;9:10;5.9;949.6;0;944.3;15
09/03/2012;8178D;ALBACETE;ALBACETE;676;8.1;0;0;6:56;16.2;15:57;5;0.3;8.6;20:30;10.5;953.3;24;949.1;0
10/03/2012;8178D;ALBACETE;ALBACETE;676;7.6;0;0.1;6:00;15.1;16:00;23;0.3;4.7;20:40;8.4;954.7;10;948.8;24
11/03/2012;8178D;ALBACETE;ALBACETE;676;10;0;0.9;6:50;19.1;16:00;5;0.6;5.3;13:10;10.6;948.9;10;945.4;20
12/03/2012;8178D;ALBACETE;ALBACETE;676;12.6;0;2.2;7:00;23;16:14;10;0.6;6.4;23:50;10.8;947.1;Varias;945.2;16
13/03/2012;8178D;ALBACETE;ALBACETE;676;14.4;0;3.7;6:40;25;16:16;7;0.8;5.8;1:20;10.7;947.6;10;945.4;18
14/03/2012;8178D;ALBACETE;ALBACETE;676;15.2;0;4.7;6:00;25.8;14:55;13;0.3;5.8;20:10;10.7;948.8;24;945.7;16
15/03/2012;8178D;ALBACETE;ALBACETE;676;13.6;0;3.8;6:30;23.3;15:07;8;1.4;7.8;14:20;10.8;949.2;10;946.7;18
16/03/2012;8178D;ALBACETE;ALBACETE;676;12.1;1.7;2.9;6:54;21.3;14:20;34;0;8.3;17:10;7.6;948.6;0;944.3;16
17/03/2012;8178D;ALBACETE;ALBACETE;676;12.2;0;5.4;6:50;19.1;14:10;28;1.9;8.1;14:20;;947.7;9;944.1;18
18/03/2012;8178D;ALBACETE;ALBACETE;676;10.7;0;5.2;6:00;16.2;15:00;99;1.9;9.2;Varias;;947.6;24;944.9;18
19/03/2012;8178D;ALBACETE;ALBACETE;676;8.6;1.7;1;5:30;16.2;13:41;6;0.3;8.6;18:50;8;949.5;23;946.7;Varias
20/03/2012;8178D;ALBACETE;ALBACETE;676;3.3;29.8;0.2;23:30;6.4;0:00;5;2.5;9.2;Varias;0;949.4;0;943.4;24
21/03/2012;8178D;ALBACETE;ALBACETE;676;4.6;0;0.2;0:00;8.9;14:46;28;0.8;4.2;16:50;6.1;945.4;23;941.2;6
22/03/2012;8178D;ALBACETE;ALBACETE;676;7.2;0;-0.5;6:50;14.9;15:33;29;1.1;5.8;13:50;9.6;946.9;10;944.3;3
23/03/2012;8178D;ALBACETE;ALBACETE;676;9.8;0;1.6;6:20;18;15:20;20;0.8;8.9;10:40;8.7;946.3;0;941.5;16
24/03/2012;8178D;ALBACETE;ALBACETE;676;9.8;0;3.9;5:10;15.8;Varias;2;0.8;6.4;10:30;3.8;946.1;24;943.5;4
25/03/2012;8178D;ALBACETE;ALBACETE;676;11.7;0;2.4;6:30;21;13:50;16;1.1;8.1;14:50;10.8;947.1;11;944.3;17
26/03/2012;8178D;ALBACETE;ALBACETE;676;11.3;0;2.6;6:10;20;14:05;4;1.1;8.1;13:00;9.9;947.5;21;944.7;16
27/03/2012;8178D;ALBACETE;ALBACETE;676;11.6;0;3.4;6:20;19.8;14:10;13;1.4;9.2;15:50;10.4;948.4;9;946;16
28/03/2012;8178D;ALBACETE;ALBACETE;676;11.6;0;3;6:00;20.1;14:20;13;1.4;10;11:20;11.1;947.5;0;944.5;17
29/03/2012;8178D;ALBACETE;ALBACETE;676;11.9;0;3.3;5:40;20.5;16:00;6;1.1;7.8;13:00;11.1;944.9;0;940.7;16
30/03/2012;8178D;ALBACETE;ALBACETE;676;12.6;0;2.9;4:53;22.2;13:30;99;1.1;7.2;Varias;10.2;942.5;0;936.5;24
31/03/2012;8178D;ALBACETE;ALBACETE;676;13.4;0;5.3;6:00;21.5;16:00;19;0.3;5;20:40;;936.5;0;932.4;18
01/04/2012;8178D;ALBACETE;ALBACETE;676;16.2;0;9.2;6:10;23.2;14:30;29;1.4;5.8;10:10;;933.6;0;929.5;17
