FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
01/03/2012;1111X;SANTANDER;CANTABRIA;52;11.0;0.0;8.6;7:40;13.4;11:00;7;4.2;7.5;15:20;9.1;1017.3;11;1015.6;Varias
02/03/2012;1111X;SANTANDER;CANTABRIA;52;10.8;0.0;9.1;3:00;12.6;15:00;28;3.3;7.8;17:30;3.5;1019.3;23;1015.6;14
03/03/2012;1111X;SANTANDER;CANTABRIA;52;13.7;0.8;9.6;6:00;17.8;12:00;99;2.5;7.2;13:40;6.8;1021.3;17;1017.8;4
04/03/2012;1111X;SANTANDER;CANTABRIA;52;12.0;0.8;8.4;23:59;15.6;11:30;33;6.4;18.3;14:10;1.2;1026.9;24;1015.3;7
05/03/2012;1111X;SANTANDER;CANTABRIA;52;9.5;1.0;7.5;Varias;11.5;13:40;35;3.6;10.3;2:10;8.7;1027.3;Varias;1024.3;17
06/03/2012;1111X;SANTANDER;CANTABRIA;52;8.9;0.0;6.1;7:00;11.7;13:50;28;3.6;7.8;12:40;8.9;1024.4;0;1021.5;17
07/03/2012;1111X;SANTANDER;CANTABRIA;52;9.3;2.4;5.4;5:30;13.2;14:40;29;3.1;12.5;21:20;6.5;1025.4;23;1021.1;4
08/03/2012;1111X;SANTANDER;CANTABRIA;52;10.8;0.0;8.6;23:59;13.1;13:10;1;5.8;12.8;2:10;6.3;1031.2;Varias;1025.3;0
09/03/2012;1111X;SANTANDER;CANTABRIA;52;9.9;0.0;6.5;7:00;13.3;11:30;8;6.4;12.2;16:20;10.8;1031.0;Varias;1028.6;14
10/03/2012;1111X;SANTANDER;CANTABRIA;52;10.6;0.0;7.2;7:00;14.1;10:40;8;5.3;9.2;16:50;11.0;1030.4;1;1028.3;16
11/03/2012;1111X;SANTANDER;CANTABRIA;52;10.6;0.0;8.8;7:50;12.4;13:00;4;2.8;8.9;15:30;5.9;1029.0;1;1023.5;24
12/03/2012;1111X;SANTANDER;CANTABRIA;52;11.2;0.0;9.0;23:40;13.5;13:00;5;4.2;7.8;14:00;8.7;1023.5;0;1019.5;Varias
