FECHA;TMEDIA;PRECIPITACION;TMIN;TMAX;VELMEDIA;RACHA;SOL;PRESMAX;PRESMIN;AÃ‘O;MES;DIA;CIUDAD;ESTACION
01/03/2012;11;0;8.6;13.4;4.2;7.5;9.1;1017.3;1015.6;2012;3;1;Santander;Invierno
01/03/2012;12;0;2.9;21.2;0.6;6.7;8.4;946.7;943.3;2012;3;1;Albacete;Invierno
02/03/2012;10.8;0;9.1;12.6;3.3;7.8;3.5;1019.3;1015.6;2012;3;2;Santander;Invierno
02/03/2012;10;1.2;6.9;13.1;2.2;8.6;3.2;949.3;945.9;2012;3;2;Albacete;Invierno
03/03/2012;13.7;0.8;9.6;17.8;2.5;7.2;6.8;1021.3;1017.8;2012;3;3;Santander;Invierno
03/03/2012;11.2;0;6.4;15.9;2.2;9.7;9.1;951.5;949.1;2012;3;3;Albacete;Invierno
04/03/2012;12;0.8;8.4;15.6;6.4;18.3;1.2;1026.9;1015.3;2012;3;4;Santander;Invierno
04/03/2012;9.9;0.7;3.7;16.1;2.2;11.1;9.1;951.3;946.2;2012;3;4;Albacete;Invierno
05/03/2012;9.5;1;7.5;11.5;3.6;10.3;8.7;1027.3;1024.3;2012;3;5;Santander;Invierno
05/03/2012;10.2;0;4;16.3;1.7;6.7;9.8;948.5;945.4;2012;3;5;Albacete;Invierno
06/03/2012;8.9;0;6.1;11.7;3.6;7.8;8.9;1024.4;1021.5;2012;3;6;Santander;Invierno
06/03/2012;8;0;1.1;14.9;1.1;11.4;10.2;947.7;943.2;2012;3;6;Albacete;Invierno
07/03/2012;9.3;2.4;5.4;13.2;3.1;12.5;6.5;1025.4;1021.1;2012;3;7;Santander;Invierno
07/03/2012;6.8;0;-1.1;14.6;0.8;6.1;9.2;949.6;945.2;2012;3;7;Albacete;Invierno
08/03/2012;10.8;0;8.6;13.1;5.8;12.8;6.3;1031.2;1025.3;2012;3;8;Santander;Invierno
08/03/2012;10.7;0;3.3;18.1;1.7;8.9;5.9;949.6;944.3;2012;3;8;Albacete;Invierno
09/03/2012;9.9;0;6.5;13.3;6.4;12.2;10.8;1031;1028.6;2012;3;9;Santander;Invierno
09/03/2012;8.1;0;0;16.2;0.3;8.6;10.5;953.3;949.1;2012;3;9;Albacete;Invierno
10/03/2012;10.6;0;7.2;14.1;5.3;9.2;11;1030.4;1028.3;2012;3;10;Santander;Invierno
10/03/2012;7.6;0;0.1;15.1;0.3;4.7;8.4;954.7;948.8;2012;3;10;Albacete;Invierno
11/03/2012;10.6;0;8.8;12.4;2.8;8.9;5.9;1029;1023.5;2012;3;11;Santander;Invierno
11/03/2012;10;0;0.9;19.1;0.6;5.3;10.6;948.9;945.4;2012;3;11;Albacete;Invierno
12/03/2012;11.2;0;9;13.5;4.2;7.8;8.7;1023.5;1019.5;2012;3;12;Santander;Invierno
12/03/2012;12.6;0;2.2;23;0.6;6.4;10.8;947.1;945.2;2012;3;12;Albacete;Invierno
13/03/2012;11.1;0;8.6;13.6;1.9;4.7;10.6;1019.7;1018.3;2012;3;13;Santander;Invierno
13/03/2012;14.4;0;3.7;25;0.8;5.8;10.7;947.6;945.4;2012;3;13;Albacete;Invierno
14/03/2012;9.6;0.2;8.5;10.8;1.7;4.7;0;1019.8;1017.8;2012;3;14;Santander;Invierno
14/03/2012;15.2;0;4.7;25.8;0.3;5.8;10.7;948.8;945.7;2012;3;14;Albacete;Invierno
15/03/2012;10.4;0.2;8.8;11.9;1.7;5;0;1019.6;1017.8;2012;3;15;Santander;Invierno
15/03/2012;13.6;0;3.8;23.3;1.4;7.8;10.8;949.2;946.7;2012;3;15;Albacete;Invierno
16/03/2012;10.8;0;10;11.6;2.5;5.3;0;1018.3;1014.7;2012;3;16;Santander;Invierno
16/03/2012;12.1;1.7;2.9;21.3;0;8.3;7.6;948.6;944.3;2012;3;16;Albacete;Invierno
17/03/2012;12;8.2;7.7;16.2;3.6;15.8;4.2;1016.3;1012.1;2012;3;17;Santander;Invierno
17/03/2012;12.2;0;5.4;19.1;1.9;8.1;9.1;947.7;944.1;2012;3;17;Albacete;Invierno
18/03/2012;9;19.2;6.6;11.4;10.6;20.6;7.7;1024.1;1012.8;2012;3;18;Santander;Invierno
18/03/2012;10.7;0;5.2;16.2;1.9;9.2;9.1;947.6;944.9;2012;3;18;Albacete;Invierno
19/03/2012;8.6;4.4;5.9;11.2;4.4;14.7;4.8;1029.5;1023.9;2012;3;19;Santander;Invierno
